week,AFC_dairy,cover_LU_dairy,growth_dairy,demand_dairy,stocking_rate_dairy,pregrazing_yield_dairy,diet_grass_dairy,diet_supplement_dairy,AFC_drystock,pregrazing_yield_drystock,growth_drystock,stocking_rate_drystock,demand_drystock,days_ahead_drystock,DM_Moorepark,DM_Grange,DM_Ballyhaise,DM_Athenry,DM_Kilworth,DM_Clonakilty
2021-05-24,762.0,195.0,66.0,57.0,3.9,1596.0,14.5,3.5,815.0,1708.0,56.0,3.4,44.0,18.5,0.146,0.18,,,,
2021-05-31,,,,,,,,,,,,,,,,,,,,
2021-06-07,743.0,186.0,80.0,61.0,4.0,1714.0,15.0,3.0,784.0,1847.0,68.0,3.37,44.0,18.0,0.155,0.22,0.18,,,
2021-06-14,706.0,183.0,81.0,60.0,3.9,1713.0,15.5,2.5,791.0,1804.0,67.0,3.3,43.0,18.4,0.167,0.228,,,,
2021-06-21,673.0,180.0,68.0,58.0,3.72,1678.0,15.5,2.5,757.0,1789.0,60.0,3.18,43.0,17.0,0.173,0.228,,0.22,,
2021-06-28,641.0,180.0,57.0,53.0,3.57,1531.0,14.5,3.0,681.0,1649.0,47.0,2.88,39.0,17.5,0.22,0.205,,0.22,,
2021-07-05,639.0,186.0,54.0,50.0,3.48,1461.0,14.5,3.5,728.0,1640.0,47.0,2.8,38.0,19.0,0.14,0.21,,0.2,,
2021-07-12,678.0,197.0,60.0,51.0,3.5,1411.0,14.5,3.0,726.0,1683.0,49.0,2.9,41.0,19.0,0.15,0.15,,0.16,,
2021-07-19,733.0,211.0,72.0,54.0,3.5,1530.0,15.0,3.0,788.0,1710.0,60.0,2.8,40.0,20.0,0.2,,,0.2,,
2021-07-26,710.0,209.0,57.0,52.0,3.45,1525.0,15.0,3.0,716.0,1687.0,46.0,2.75,39.0,18.0,,0.223,,,,0.21
2021-08-02,652.0,191.0,45.0,50.0,3.4,1490.0,14.5,3.5,608.0,1410.0,44.0,2.75,39.0,16.0,0.21,0.223,,,,
2021-08-09,684.0,204.0,61.0,48.0,3.28,1582.0,14.5,3.28,723.0,1632.0,43.0,2.6,36.0,20.0,0.164,0.223,,,,
2021-08-16,759.0,238.0,64.0,48.0,3.24,1674.0,14.5,3.5,794.0,1802.0,50.0,2.6,37.0,21.5,0.145,0.17,,,,
2021-08-23,812.0,258.0,63.0,49.0,3.24,1711.0,15.0,3.0,827.0,1785.0,52.0,2.6,37.0,22.0,0.18,0.142,,,,
2021-08-30,895.0,286.0,69.0,49.0,3.18,1862.0,15.0,3.0,909.0,1941.0,65.0,2.37,35.0,26.0,0.194,0.18,0.17,,,
2021-09-06,914.0,295.0,61.0,48.0,3.12,1932.0,15.5,2.5,922.0,2019.0,62.0,2.31,34.0,27.0,0.18,0.18,,,,
2021-09-13,928.0,297.0,62.0,48.0,3.15,1954.0,15.0,3.0,922.0,2050.0,58.0,2.29,34.0,28.0,0.14,0.15,,,,
2021-09-20,908.0,294.0,61.0,48.0,3.15,2040.0,15.0,3.0,907.0,2198.0,46.0,2.29,35.0,26.0,0.136,0.17,0.12,0.14,,
2021-09-27,1034.0,351.0,62.0,45.0,3.0,2178.0,14.5,3.5,1002.0,2016.0,47.0,2.2,32.0,26.0,0.14,,,,,0.13
2021-10-04,995.0,338.0,52.0,44.0,3.0,2223.0,14.0,4.0,939.0,2093.0,42.0,2.1,31.0,30.0,0.128,0.13,0.114,0.105,,
2021-10-11,955.0,325.0,42.0,41.0,2.95,2240.0,14.0,4.0,920.0,2040.0,37.0,2.0,31.0,28.0,0.13,0.13,,,,
2021-10-18,876.0,295.0,39.0,41.0,2.96,2191.0,13.5,4.5,791.0,2000.0,29.0,2.0,28.0,28.0,0.124,0.138,,,,
2021-10-25,801.0,283.0,35.0,39.0,2.9,1993.0,12.0,5.0,808.0,2017.0,26.0,1.78,25.0,32.0,0.112,0.13,,,,
2021-11-01,734.0,257.0,28.0,35.0,2.85,2003.0,12.0,6.0,734.0,1877.0,23.0,1.65,23.0,31.0,0.132,,,0.12,,0.145
2021-11-08,690.0,258.0,23.0,30.0,2.67,1846.0,,,660.0,1597.0,16.0,1.5,21.0,31.0,0.122,,,,,
2021-11-15,687.0,262.0,18.0,30.0,2.62,1727.0,7.0,11.0,572.0,1420.0,13.0,1.2,18.0,32.0,0.13,0.125,,,,
