week,derry,antrim,down,armagh,fermanagh,tyrone
2019-05-13,69.4,57.0,59.7,60.8,58.9,59.4
2019-05-20,62.2,60.7,71.1,64.3,53.2,65.9
2019-05-27,78.5,65.0,86.3,111.0,80.8,85.9
2019-06-03,90.9,71.2,87.9,86.8,85.0,86.3
2019-06-10,87.4,71.3,80.3,79.2,71.7,77.8
2019-06-17,54.3,83.8,67.0,79.7,49.4,63.6
2019-06-24,65.8,72.8,71.2,69.0,57.2,70.0
2019-07-01,65.1,54.6,71.5,71.0,61.0,84.6
2019-07-08,70.7,65.7,64.0,64.8,52.4,66.1
2019-07-15,75.2,57.3,72.8,70.4,70.0,72.0
2019-07-22,68.0,53.5,75.0,64.8,60.6,77.6
2019-07-29,64.0,72.9,69.2,52.2,80.4,94.8
2019-08-05,69.6,65.7,65.1,66.4,68.7,69.8
2019-08-12,61.7,59.6,55.8,61.8,68.5,62.7
2019-08-19,63.4,55.9,70.6,67.4,58.2,74.6
2019-08-26,43.9,49.3,58.0,52.2,50.0,58.8
2019-09-02,53.2,56.9,65.2,61.0,56.1,61.0
2019-09-09,37.4,50.1,54.6,54.8,62.3,58.0
2019-09-16,46.3,37.8,49.1,50.9,53.3,46.6
2019-09-23,44.2,25.0,47.7,42.5,33.9,49.9
2019-09-30,43.9,53.7,51.7,49.7,55.3,46.7
2019-10-07,47.5,42.4,34.1,46.7,59.2,52.5
2019-10-14,32.7,25.8,28.1,26.8,31.1,22.3
2019-10-21,17.0,25.5,24.9,22.2,37.0,19.2
2019-10-28,,,,,,
2019-11-04,,,,,,
2019-11-11,,,,,,
2019-11-18,,,,,,
2019-11-25,,,,,,
2019-12-02,,,,,,
2019-12-09,,,,,,
2019-12-16,,,,,,
2019-12-23,,,,,,
2019-12-30,,,,,,
2020-01-06,,,,,,
2020-01-13,,,,,,
2020-01-20,,,,,,
2020-01-27,,,,,,
2020-02-03,,,,,,
2020-02-10,,,,,,
2020-02-17,,,,,,
2020-02-24,,,,,,
2020-03-02,,,,,,
2020-03-09,,,,,,
2020-03-16,,,,,,
2020-03-23,10.7,8.2,15.0,9.9,3.7,6.6
2020-03-30,10.7,8.2,15.0,9.9,3.7,6.6
2020-04-06,21.5,22.7,21.0,21.2,32.0,14.3
2020-04-13,51.9,49.8,51.2,48.8,45.9,43.8
2020-04-20,47.3,57.7,46.5,50.0,51.0,51.7
2020-04-27,,,,,,
2020-05-04,49.5,61.1,61.1,59.4,67.8,62.8
2020-05-11,70.8,61.6,64.9,69.3,86.1,78.7
2020-05-18,52.7,44.7,50.5,53.0,45.8,62.8
2020-05-25,75.2,72.7,60.0,53.8,67.9,76.7
2020-06-01,73.4,68.7,42.8,38.5,64.8,89.6
